ワンピースの主人公の名前は？,4,ルヒィ,ルフィー,ルビー,ルフィ,,,
ドラえもんは何型ロボット？,4,イヌ型,サル型,キジ型,ネコ型,,,
チョッパーの本名は？（ワンピース）,1,トニートニー・チョッパー,トニトニー・チョパー,トニー・トニー・チョッパー,トニー・トニーチョッパー,,,
ナミの方の刺繍は次のうちどれ？（ワンピース）,3,イチゴと風車,ぶどうと風車,みかんと風車,りんごと風車,,,
空島に不法入国したルフィ達。いくら払えば罪が消える？（ワンピース）,2,10億エクストル,700億エクストル,100億エクストル,70億エクストル,,,
ルフィが初めて掛けられた懸賞金の金額は？（ワンピース）,2,2千万ベリー,3千万ベリー,4千万ベリー,5千万ベリー,,,
ロビンの身長は？（ワンピース）,1,188cm,175cm,169cm,181cm,,,
ルフィの血液型は？（ワンピース）,4,A型,B型,O型,F型,,,
ブルックの誕生日は？（ワンピース）,1,4月3日,6月4日,9月30日,13月10日,,,
ドラえもんの身長は？（ドラえもん）,3,131.3cm,121.9cm,129.3cm,139.3cm,,,
テトリスで落下してくるブロックピースは何種類？,2,8種類,7種類,6種類,9種類,,,
ドラミちゃんの体の色は何色？（ドラえもん）,1,黄色,ピンク色,肌色,水色,,,
銭形警部はもともとどこの警察官だった？（ルパン三世）,4,神奈川県警,群馬県警,千葉県警,埼玉県警,,,
次のうち毎年夏休みに公開する映画は？,2,クレヨンしんちゃん,ポケットモンスター,ドラえもん,名探偵コナン,,,
キティーちゃんの血液型は？,3,B型,AB型,A型,O型,,,
しんちゃんが通う幼稚園の園長先生のあだ名といえば？（クレヨンしんちゃん）,2,市長,組長,班長,隊長,,,
デスノートに名前を書かれた人間は難病後に死亡する？（DEATH NOTE）,3,4秒後,１０秒後,４０秒後,３０秒後,,,
野原家の飼い犬の名前は？（クレヨンしんちゃん）,2,ポチ,シロ,ワン,ハナ,,,
江戸川コナンは小学何年生か？（名探偵コナン）,1,小学１年生,小学２年生,小学３年生,小学４年生,,,
ちびまる子ちゃんのOP曲「おどるポンポコリン」を歌っているのは？,1,木村カエラ,青山テルマ,加藤ミリヤ,西野カナ
