２００６年の放映ドラマ「マイ⭐︎ボス マイ⭐︎ヒーロ」で、主人公の舎弟”カズ”を演じたのは？,1,田中聖,赤西仁,上田竜也,中丸雄一
木村拓哉が　HERO で演じた職業は？,4,ピアニスト,美容師,広告代理店社員,検事
ハリーポッターシリーズでで「ハリーポッターを演じている俳優は？」,2,エマ・ワトソン,ダニエル・ラドクリフ,リチャード・ハリス,ルパート・グリン
トニセン　と　カニセン　に分かれているジャニーズ事務所の人気アイドルグループは？,3,SMAP,嵐,V6,関ジャニ∞
２００４年に公開されたホラー映画「着信アリ」でヒロインを演じた女優は？,2,栗山千明,柴咲コウ,ミムラ,竹内結子
2008年放送のTVドラマ「ROOKIES」の主題歌は？,3,歩み,刹那,キセキ,遥
女性歌手・青山テルマが卒業した大学は？,4,早稲田大学,東京大学,慶應義塾大学,上智大学
TOKIOのデビュー曲は？,1,LOVE YOU ONLY,宙船,明日が聞こえる,硝子の少年
２０１１年１月にシングル「Dear J」でソロデビューするAKB48のメンバーは？,1,板野友美,篠田麻里子,前田敦子,大島優子
浜崎あゆみの改名前の名前は？,2,浜崎みさき,浜崎くるみ,浜崎みるく,浜崎ゆきな
この中で８月２２日が誕生日の芸能人は誰？,3,北野たけし,さんま,タモリ,所ジョージ
SMAPの中で最年長は誰？,1,中居正広,香取慎吾,稲垣吾郎,木村拓哉
SMAPの中で最年少は誰？,2,木村拓哉,香取慎吾,中居正広,稲垣吾郎
オレンジレンジの名曲＊〜アスタリスクのロマンティックバージョンの朗読部分を担当したのは？,3,ラッシャー板前,竹内隆範,出川哲朗,江頭２：５０
１分間に合計１２５回のキスを受け、ギネス記録に認定されたタレントは？,1,楽しんご,IKKO,はるな愛,マツコ・デラックス
イングリッド・バークマンの遺作となった１９７８年のスウェーデン映画は？,1,春のソナタ,夏のソナタ,秋のソナタ,冬のソナタ
時をかける少女で主人公が所属していたのは何部？,3,テニス部,陸上部,弓道部,バレーボール部
２０１４年１０月より関根麻里の後任として「ZIP!」の総合司会を務める女優は？,3,水ト麻美,石原さとみ,北乃きい,久本雅美
アイドル歌手・松浦亜弥のニックネームは？,1,あやや,あやぴー,あや姉,あや様
ジャニーズグループ嵐の桜井翔の出身大学は？,4,明治大学,早稲田大学,立教大学,慶應義塾大学
